survey_year,extract_folder,file_name,module_code,module_stub,core_domain,variable_name,variable_label,storage_class,non_missing_share,years_present,present_all_5y_in_domain
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,hhid,Household ID (Kobo),numeric,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,date,Submission Date,Date,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,time,Submission Time,POSIXct,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,start_date,Start Date,Date,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,end_date,End Date,Date,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,start_time,Start Time,POSIXct,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,end_time,End Time,POSIXct,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,gps,"1 Interviewer, please record GPS location of the respondent’s house.",character,1,1,FALSE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,province,2a Province,haven_labelled,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,mahalla,2b District-Mahalla,numeric,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,icode,3 Interviewer Code,character,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,agreement,7 Do you agree to participate in the survey?,haven_labelled,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,refusal,"8 Please, indicate the reason of the refusal",haven_labelled,0.16422264269946388,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,refusal_other,"8z Please, specify other",character,1,1,FALSE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,hhsize,"How many people live in this household, including you?",numeric,0.83577735730053615,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,sid,Submission ID (Kobo),numeric,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,dur_passport,Duration of Questionnaire Passport (min),numeric,0.9169031851151056,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,dur_m1_m7,"Duration of Modules 1-7: Roster, Migration, Education, Health, Employment, Banki",numeric,0.83577735730053615,4,FALSE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,dur_nonwage,Duration of Module 8: Nonwage Revenue (min),numeric,0.83577735730053615,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,dur_food,Duration of Module 9: Food (min),numeric,0.83577735730053615,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,dur_nonfood,Duration of Module 10: Nonfood (min),numeric,0.83577735730053615,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,dur_dwelling,Duration of Module 11: Dwelling (min),numeric,0.8346736045411542,4,FALSE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,dur_tourism,Duration of Module 12: Tourism (min),numeric,0.8347524440239672,4,FALSE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,dur_total,Duration of the Interview (min),numeric,0.83577735730053615,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,uuid,passport.uuid,character,1,4,FALSE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,respondent_phone,6 Phone number of the respondent,numeric,0.326158940397351,4,FALSE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,refusalz,"8z Please, specify other",character,1,5,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,hy,NA,numeric,1,1,FALSE
2021,20220105,uzb_hbs_2021_20220105_m00_weight.dta,m00,m00_weight,weights,hhid,Household ID (Kobo),numeric,1,5,TRUE
